id_penjualan,id_produk,tanggal_penjualan,jumlah_terjual,harga_jual,total_penjualan
1,101,2024-01-02,100,15000,1500000
2,102,2024-01-06,50,20000,1000000
3,103,2024-01-12,150,18000,2700000
4,101,2024-01-16,100,15000,1500000
5,104,2024-01-21,100,22000,2200000
6,102,2024-02-02,150,20000,3000000
7,103,2024-02-06,150,18000,2700000
8,105,2024-02-11,150,25000,3750000
9,101,2024-02-16,200,15000,3000000
10,102,2024-02-21,150,20000,3000000
11,104,2024-03-02,150,22000,3300000
12,105,2024-03-06,100,25000,2500000
13,101,2024-03-11,200,15000,3000000
14,103,2024-03-16,150,18000,2700000
15,102,2024-03-21,150,20000,3000000
16,104,2024-04-02,200,22000,4400000
17,105,2024-04-06,150,25000,3750000
18,101,2024-04-11,200,15000,3000000
19,102,2024-04-16,150,20000,3000000
20,104,2024-04-21,200,22000,4400000
